# k[hMpc-1] 2.5perc 16perc 50perc 84perc 97.5perc
6.169806740655364719e-01 9.487727530454886926e-01 9.502855103326978137e-01 9.525346899821069968e-01 9.549167423997649840e-01 9.580138134642577352e-01
6.365524939500267765e-01 9.468859990596089071e-01 9.484721081691049882e-01 9.508328678986663896e-01 9.533073163462647548e-01 9.565098629220036841e-01
6.567451698024469042e-01 9.449947874547798277e-01 9.466605174220201757e-01 9.491310458152258933e-01 9.517032547621325778e-01 9.550059123797496330e-01
6.775783963744957950e-01 9.431317657167680446e-01 9.448489266749351412e-01 9.474292237317853971e-01 9.500957427316331083e-01 9.535019618374954709e-01
6.990724931734739744e-01 9.412605540455299957e-01 9.430347436167620945e-01 9.457274016483447898e-01 9.484914508274921996e-01 9.519980112952415308e-01
7.212484242807419843e-01 9.393414040040368729e-01 9.411797489584303733e-01 9.439984654823174726e-01 9.468651246291241996e-01 9.504699305949096955e-01
7.441278187988524806e-01 9.374200878567094941e-01 9.393086443788257744e-01 9.422680715748654734e-01 9.452376137953050206e-01 9.489405525786571705e-01
7.677329919473117048e-01 9.354987717093822264e-01 9.374491089234537888e-01 9.405376776674132522e-01 9.436101029614858415e-01 9.474111745624045344e-01
7.920869668275324349e-01 9.335774555620549586e-01 9.356123267550889855e-01 9.388082304225427999e-01 9.419744397659907120e-01 9.458817965461520094e-01
8.172134968782193143e-01 9.316196107460615883e-01 9.337478567186634493e-01 9.370595833690265053e-01 9.403196586106762345e-01 9.443347395828909363e-01
8.431370890430791576e-01 9.296571473677814890e-01 9.318769655112054684e-01 9.353082139318672494e-01 9.386625443345633091e-01 9.427854473528952672e-01
8.698830276734549338e-01 9.276946839895015007e-01 9.299880072582940027e-01 9.335568444947079936e-01 9.369829259641666575e-01 9.412361551228997092e-01
8.974773991892016634e-01 9.257322206112215124e-01 9.280848364766374203e-01 9.318021226585981864e-01 9.352962024945461472e-01 9.396868628929040401e-01
9.259471175218477734e-01 9.237339285808906508e-01 9.261571776779565779e-01 9.300240381269748724e-01 9.336457988593986901e-01 9.381238651401605511e-01
9.553199503648674984e-01 9.217281169596466261e-01 9.242392071933145381e-01 9.282416482723110374e-01 9.320048161556900856e-01 9.365579909207231157e-01
9.856245462566598503e-01 9.197223053384026015e-01 9.223715365595199778e-01 9.264592584176473133e-01 9.303638334519815922e-01 9.349921167012856804e-01
1.016890462522651584e+00 9.177164937171585768e-01 9.204443146573226819e-01 9.246768685629835893e-01 9.287031761824030562e-01 9.334262424818481341e-01
1.049148194103779019e+00 9.156679403141790852e-01 9.184632622893074139e-01 9.228690711861685658e-01 9.270261923581096797e-01 9.318441179620822190e-01
1.082429203299468679e+00 9.136068570636054487e-01 9.164709176056206053e-01 9.210534821690441465e-01 9.253369058094808031e-01 9.302570100167653067e-01
